# MJD mag magerr filter flag distance ra dec
55283.93841 16.200    NaN W1 10  0.9210 278.063173  -2.581352
55284.00462 16.126    NaN W1 10  0.9420 278.063172  -2.581463
55283.93853 16.104    NaN W1 10  1.0824 278.063212  -2.581463
55283.87232 15.873    NaN W1 10  1.0942 278.063192  -2.581526
55283.60771 16.220    NaN W1 10  1.1408 278.063234  -2.581437
55284.20314 16.066    NaN W1 10  1.1909 278.063232  -2.581502
55284.07071 16.185    NaN W1 10  1.2704 278.063253  -2.581507
55292.14215 15.930    NaN W1 10  1.3708 278.063288  -2.581487
55284.60005 15.983    NaN W1 10  1.4019 278.063309  -2.581418
55284.33544 16.208    NaN W1 10  1.4598 278.063315  -2.581481
55284.13692 16.526    NaN W1 10  1.5979 278.063333  -2.581554
55283.74001 16.113    NaN W1 10  1.6335 278.063361  -2.581499
55284.46775 16.301    NaN W1 10  2.0710 278.063452  -2.581609
55283.93841 12.712  0.065 W2 10  0.9210 278.063173  -2.581352
55284.00462 12.716  0.066 W2 10  0.9420 278.063172  -2.581463
55283.93853 12.855  0.084 W2 10  1.0824 278.063212  -2.581463
55283.87232 12.661  0.063 W2 10  1.0942 278.063192  -2.581526
55283.60771 12.680  0.073 W2 10  1.1408 278.063234  -2.581437
55284.20314 12.673  0.069 W2 10  1.1909 278.063232  -2.581502
55284.07071 13.049  0.141 W2 10  1.2704 278.063253  -2.581507
55292.14215 12.638  0.080 W2 10  1.3708 278.063288  -2.581487
55284.60005 12.756  0.069 W2 10  1.4019 278.063309  -2.581418
55284.33544 12.608  0.063 W2 10  1.4598 278.063315  -2.581481
55284.13692 12.714  0.065 W2 10  1.5979 278.063333  -2.581554
55283.74001 12.839  0.099 W2 10  1.6335 278.063361  -2.581499
55284.46775 12.599  0.078 W2 10  2.0710 278.063452  -2.581609
55283.93841  3.488    NaN W1mW2 10  0.9210 278.063173  -2.581352
55284.00462  3.410    NaN W1mW2 10  0.9420 278.063172  -2.581463
55283.93853  3.249    NaN W1mW2 10  1.0824 278.063212  -2.581463
55283.87232  3.212    NaN W1mW2 10  1.0942 278.063192  -2.581526
55283.60771  3.540    NaN W1mW2 10  1.1408 278.063234  -2.581437
55284.20314  3.393    NaN W1mW2 10  1.1909 278.063232  -2.581502
55284.07071  3.136    NaN W1mW2 10  1.2704 278.063253  -2.581507
55292.14215  3.292    NaN W1mW2 10  1.3708 278.063288  -2.581487
55284.60005  3.227    NaN W1mW2 10  1.4019 278.063309  -2.581418
55284.33544  3.600    NaN W1mW2 10  1.4598 278.063315  -2.581481
55284.13692  3.812    NaN W1mW2 10  1.5979 278.063333  -2.581554
55283.74001  3.274    NaN W1mW2 10  1.6335 278.063361  -2.581499
55284.46775  3.702    NaN W1mW2 10  2.0710 278.063452  -2.581609
